timestamp,price,action,position,balance
2023-01-08 20:10:00,16948.53,close,long,9235.36
2023-01-08 21:15:00,16974.082799999996,buy,long,9235.36
2023-01-08 22:15:00,16956.79,close,long,9218.09
2023-01-08 22:20:00,16977.264389999997,buy,long,9218.09
2023-01-08 23:05:00,17041.13,close,long,9281.89
2023-01-09 00:15:00,17133.06225,buy,long,9281.89
2023-01-09 00:30:00,17133.82,close,long,9282.64
2023-01-09 01:00:00,17181.876645,buy,long,9282.64
2023-01-09 02:40:00,17235.98,close,long,9336.69
2023-01-09 02:45:00,17211.631514999997,buy,long,9336.69
2023-01-09 04:30:00,17236.13,close,long,9361.17
2023-01-09 04:45:00,17240.25582,buy,long,9361.17
2023-01-09 05:05:00,17232.59,close,long,9353.51
2023-01-09 05:10:00,17236.984184999998,buy,long,9353.51
2023-01-09 09:40:00,17249.87,close,long,9366.38
2023-01-09 09:50:00,17252.391885,buy,long,9366.38
2023-01-09 10:05:00,17241.26,close,long,9355.26
2023-01-09 10:45:00,17268.269819999998,buy,long,9355.26
2023-01-09 11:00:00,17272.25,close,long,9359.24
2023-01-09 11:10:00,17274.21279,buy,long,9359.24
2023-01-09 12:15:00,17240.96,close,long,9326.02
2023-01-09 12:20:00,17254.653014999996,buy,long,9326.02
2023-01-09 13:25:00,17268.75,close,long,9340.1
2023-01-09 13:30:00,17279.085225,buy,long,9340.1
2023-01-09 13:35:00,17273.16,close,long,9334.18
2023-01-09 13:45:00,17233.782584999997,buy,long,9334.18
2023-01-09 15:00:00,17281.4,close,long,9381.75
2023-01-09 15:05:00,17280.01569,buy,long,9381.75
2023-01-09 15:45:00,17303.52,close,long,9405.23
2023-01-09 15:55:00,17277.124245,buy,long,9405.23
2023-01-09 16:30:00,17322.17,close,long,9450.23
2023-01-09 16:35:00,17323.567455,buy,long,9450.23
2023-01-09 17:15:00,17364.31,close,long,9490.93
2023-01-09 17:20:00,17378.06469,buy,long,9490.93
2023-01-09 20:00:00,17281.56,close,long,9394.53
2023-01-09 21:05:00,17218.074735000002,buy,long,9394.53
2023-01-10 01:05:00,17227.58,close,long,9404.02
2023-01-10 01:10:00,17211.431415,buy,long,9404.02
2023-01-10 03:45:00,17195.51,close,long,9388.12
2023-01-10 03:55:00,17214.32286,buy,long,9388.12
2023-01-10 04:15:00,17203.46,close,long,9377.26
2023-01-10 04:20:00,17212.351875,buy,long,9377.26
2023-01-10 04:45:00,17216.63,close,long,9381.54
2023-01-10 05:05:00,17222.897145,buy,long,9381.54
2023-01-10 05:40:00,17221.85,close,long,9380.49
2023-01-10 05:55:00,17237.384385,buy,long,9380.49
2023-01-10 06:45:00,17193.12,close,long,9336.27
2023-01-10 06:50:00,17212.081739999998,buy,long,9336.27
2023-01-10 07:00:00,17198.43,close,long,9322.63
2023-01-10 07:05:00,17211.031215,buy,long,9322.63
2023-01-10 07:25:00,17196.18,close,long,9307.8
2023-01-10 07:30:00,17205.81861,buy,long,9307.8
2023-01-10 08:25:00,17253.35,close,long,9355.28
2023-01-10 08:35:00,17246.649015,buy,long,9355.28
2023-01-10 08:40:00,17243.23,close,long,9351.87
2023-01-10 09:30:00,17263.60749,buy,long,9351.87
2023-01-10 11:15:00,17267.21,close,long,9355.46
2023-01-10 11:30:00,17269.85061,buy,long,9355.46
2023-01-10 12:15:00,17237.78,close,long,9323.43
2023-01-10 12:40:00,17243.217299999997,buy,long,9323.43
2023-01-10 12:55:00,17224.15,close,long,9304.38
2023-01-10 13:05:00,17246.51895,buy,long,9304.38
2023-01-10 14:05:00,17286.58,close,long,9344.4
