combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'rsi': 0.9, 'adx': 0.5, 'cci': 0.1}",83,-526.2799999999975,-6.340722891566235,0.4578313253012048,38,45,
"{'rsi': 0.9, 'adx': 0.8, 'cci': 0.3}",14721,-30776.66000000034,-2.090663677739307,0.44528224984715714,6555,8166,
"{'rsi': 1, 'adx': 0.2, 'cci': 0.3}",33271,-48915.429999999986,-1.4702121968080306,0.45312734814102373,15076,18195,
"{'rsi': 1, 'adx': 0.3, 'cci': 0.1}",126,-868.7499999999973,-6.8948412698412485,0.3968253968253968,50,76,
"{'rsi': 1, 'adx': 0.6, 'cci': 0.3}",16208,-33460.81000000046,-2.064462611056297,0.4456441263573544,7223,8985,
"{'rsi': 1, 'adx': 0.9, 'cci': 0.5}",47767,-36515.03999999968,-0.7644407226746431,0.46904766889275024,22405,25362,
"{'rsi': 1, 'adx': 1, 'cci': 0.3}",8337,-23837.120000000097,-2.8591963536044256,0.43552836751829194,3631,4706,
"{'rsi': 0.1, 'cci': 0.1, 'mfi': 0.9}",4292,-10523.420000000044,-2.451868592730672,0.4082013047530289,1752,2540,
"{'rsi': 0.1, 'cci': 0.2, 'mfi': 0.7}",48145,-59951.669999999474,-1.2452314882126798,0.457555301692803,22029,26116,
"{'rsi': 0.2, 'cci': 0.1, 'mfi': 0.5}",8778,-23085.970000000012,-2.6299806334016873,0.4209387104123946,3695,5083,
"{'rsi': 0.3, 'cci': 0.1, 'mfi': 0.1}",32220,-52128.36999999998,-1.6178885785226562,0.44941030415890754,14480,17740,
"{'rsi': 0.3, 'cci': 0.1, 'mfi': 0.9}",1287,-3469.259999999962,-2.695617715617686,0.372960372960373,480,807,
"{'rsi': 0.3, 'cci': 0.2, 'mfi': 0.7}",25315,-45797.38000000011,-1.8091005332806678,0.4410823622358286,11166,14149,
"{'rsi': 0.4, 'cci': 0.1, 'mfi': 0.5}",2419,-7652.38999999992,-3.163451839603109,0.3931376601901612,951,1468,
"{'rsi': 0.4, 'cci': 0.2, 'mfi': 0.3}",49979,-56701.34999999956,-1.1345034914664072,0.4584525500710298,22913,27066,
"{'rsi': 0.4, 'cci': 0.3, 'mfi': 0.9}",36571,-57504.50000000009,-1.5724070985206882,0.45177873178201305,16522,20049,
"{'rsi': 0.5, 'cci': 0.1, 'mfi': 0.1}",8315,-24608.300000000145,-2.959506915213487,0.41984365604329527,3491,4824,
"{'rsi': 0.5, 'cci': 0.1, 'mfi': 0.9}",459,-1239.1400000000153,-2.699651416122038,0.3420479302832244,157,302,
"{'rsi': 0.5, 'cci': 0.2, 'mfi': 0.7}",12823,-29098.01,-2.2692045543164623,0.428292911175232,5492,7331,
"{'rsi': 0.6, 'cci': 0.1, 'mfi': 0.5}",769,-2634.690000000035,-3.426124837451281,0.38881664499349805,299,470,
"{'rsi': 0.6, 'cci': 0.2, 'mfi': 0.3}",25626,-50382.71000000021,-1.9660778115976043,0.44228517911496135,11334,14292,
"{'rsi': 0.6, 'cci': 0.3, 'mfi': 0.9}",23519,-45426.09000000009,-1.9314634975976908,0.43934691100812107,10333,13186,
