combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'macd': 0.2, 'mfi': 0.4, 'obv': 0.4}",48561,-44747.51999999981,-0.9214703156854226,0.4438335289635716,21553,27008,
"{'macd': 0.2, 'mfi': 0.5, 'obv': 1}",46691,-40758.61999999981,-0.872943822149875,0.447259643186053,20883,25808,
"{'macd': 0.2, 'mfi': 0.6, 'obv': 0.8}",47748,-43355.9299999998,-0.9080156236910404,0.44504481863114687,21250,26498,
"{'macd': 0.2, 'mfi': 0.7, 'obv': 0.6}",49133,-45761.859999999804,-0.9313874585309223,0.4422485905603159,21729,27404,
"{'macd': 0.2, 'mfi': 0.9, 'obv': 1}",48301,-44333.42999999981,-0.9178573942568438,0.4440073704478168,21446,26855,
"{'macd': 0.2, 'mfi': 1, 'obv': 0.8}",49381,-46066.80999999981,-0.9328853202648754,0.44191085640225997,21822,27559,
"{'macd': 0.3, 'mfi': 0.1, 'obv': 0.6}",45318,-39893.76999999981,-0.8803073833796683,0.44896067787634053,20346,24972,
"{'macd': 0.3, 'mfi': 0.2, 'obv': 0.4}",46650,-41037.32999999981,-0.8796855305466198,0.44692390139335475,20849,25801,
"{'macd': 0.3, 'mfi': 0.3, 'obv': 1}",45906,-40183.47999999981,-0.8753426567333205,0.44830741079597436,20580,25326,
"{'macd': 0.3, 'mfi': 0.4, 'obv': 0.8}",46689,-40776.00999999981,-0.8733536807384997,0.4472573839662447,20882,25807,
"{'macd': 0.3, 'mfi': 0.5, 'obv': 0.6}",48067,-43997.4199999998,-0.9153352611979071,0.44462937150227805,21372,26695,
"{'macd': 0.3, 'mfi': 0.7, 'obv': 1}",47566,-42875.44999999981,-0.9013885968969392,0.4455913888071311,21195,26371,
"{'macd': 0.3, 'mfi': 0.8, 'obv': 0.8}",48600,-44769.49999999981,-0.9211831275720126,0.4438683127572016,21572,27028,
"{'macd': 0.4, 'mfi': 0.1, 'obv': 0.2}",46589,-41004.60999999981,-0.8801350104101786,0.44692953272231645,20822,25767,
"{'macd': 0.4, 'mfi': 0.1, 'obv': 1}",45089,-39854.97999999982,-0.8839180287875051,0.4492004701811972,20254,24835,
"{'macd': 0.4, 'mfi': 0.2, 'obv': 0.8}",45677,-40196.23999999981,-0.8800105085710491,0.4484532696980975,20484,25193,
"{'macd': 0.4, 'mfi': 0.3, 'obv': 0.6}",46682,-40948.66999999981,-0.8771832826357013,0.4471744998072062,20875,25807,
"{'macd': 0.4, 'mfi': 0.4, 'obv': 0.4}",48576,-44922.90999999981,-0.9247964015151475,0.4437994071146245,21558,27018,
"{'macd': 0.4, 'mfi': 0.5, 'obv': 1}",46702,-40731.77999999982,-0.8721635047749522,0.44723994689734914,20887,25815,
"{'macd': 0.4, 'mfi': 0.6, 'obv': 0.8}",47755,-43458.5099999998,-0.9100305727148947,0.4450005235053921,21251,26504,
"{'macd': 0.4, 'mfi': 0.7, 'obv': 0.6}",49143,-45727.649999999805,-0.930501800866854,0.44219929593227925,21731,27412,
"{'macd': 0.4, 'mfi': 0.9, 'obv': 1}",48311,-44318.469999999805,-0.917357744613024,0.4439154643869926,21446,26865,
"{'macd': 0.4, 'mfi': 1, 'obv': 0.8}",49389,-46104.87999999981,-0.9335050314847397,0.4418797707991658,21824,27565,
