timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1675220100000,23102.4,23110.0,23095.63,23108.43,600.92887,1675220399999,13884003.1525131,15851,300.77362,6949417.6016303,0
1675220400000,23107.17,23112.94,23097.28,23099.65,518.28789,1675220699999,11975862.3716748,16290,249.14087,5756945.4754444,0
1675220700000,23098.82,23102.77,23088.75,23097.21,621.08469,1675220999999,14344191.3103729,14730,266.33779,6151380.9859044,0
1675221000000,23096.58,23109.99,23094.31,23100.49,403.70729,1675221299999,9326734.7334471,13782,192.05446,4437079.7182578,0
1675221300000,23100.49,23104.85,23077.0,23081.51,572.69365,1675221599999,13222664.8831242,16639,262.38726,6058166.8114355,0
1675221600000,23081.5,23085.6,23070.44,23076.86,559.9194,1675221899999,12921663.8616479,17395,253.97251,5861268.6592729,0
1675221900000,23076.86,23083.89,23063.57,23082.78,674.28786,1675222199999,15558167.5929247,19076,322.83296,7449175.028612,0
1675222200000,23082.26,23085.88,23038.07,23076.63,805.92247,1675222499999,18590862.8862782,21859,384.56076,8870859.6785272,0
1675222500000,23077.62,23098.0,23075.67,23091.15,579.729,1675222799999,13386174.7628106,18222,303.30433,7003509.7618649,0
1675222800000,23091.6,23106.68,23082.49,23101.75,587.46858,1675223099999,13567860.4105276,17142,310.72733,7176660.3511687,0
1675223100000,23101.75,23116.62,23100.1,23109.54,371.01493,1675223399999,8573005.808637,13766,199.92409,4619750.127032,0
1675223400000,23109.54,23128.96,23108.02,23125.88,723.78807,1675223699999,16732100.3125998,16046,431.31661,9971044.5878364,0
1675223700000,23125.86,23134.59,23118.02,23130.19,545.24493,1675223999999,12609155.8140831,14644,300.50855,6949557.6484164,0
1675224000000,23130.7,23139.0,23127.0,23137.58,499.83253,1675224299999,11563313.2116878,15178,275.91221,6383210.5448565,0
1675224300000,23138.48,23140.52,23128.59,23137.63,487.75145,1675224599999,11284570.4636402,13502,246.1426,5694914.9237735,0
1675224600000,23138.32,23144.98,23124.58,23124.76,547.07499,1675224899999,12657091.5442062,15015,270.36246,6255259.3345946,0
1675224900000,23124.76,23132.0,23107.83,23122.51,610.10569,1675225199999,14105461.8765823,16205,276.56305,6394333.1117645,0
1675225200000,23121.88,23157.41,23121.07,23131.33,779.09747,1675225499999,18031595.9521297,21939,403.30207,9334074.7362994,0
1675225500000,23131.88,23148.48,23125.22,23137.68,469.79402,1675225799999,10870899.093926,15525,234.47209,5425606.1589991,0
1675225800000,23137.68,23154.1,23130.81,23138.41,546.79293,1675226099999,12653107.559144,16275,266.38419,6164315.8224736,0
1675226100000,23138.41,23139.98,23110.59,23137.19,862.24412,1675226399999,19940258.7924979,21072,398.38797,9213306.6004026,0
1675226400000,23137.92,23152.13,23137.22,23149.46,468.21456,1675226699999,10837283.6997234,15287,255.54155,5914803.7245387,0
1675226700000,23149.46,23149.7,23124.91,23127.31,595.97723,1675226999999,13789379.1156776,16381,270.56106,6260127.2287471,0
1675227000000,23127.06,23135.69,23123.9,23130.06,424.54786,1675227299999,9819842.5947284,14868,195.06545,4511938.2042447,0
1675227300000,23130.06,23145.33,23127.95,23135.98,557.73602,1675227599999,12904435.0654417,16390,280.53393,6490840.8480448,0
1675227600000,23136.75,23148.0,23132.09,23144.12,587.67732,1675227899999,13598541.6885796,17314,333.65335,7720698.7489694,0
1675227900000,23144.13,23153.06,23136.47,23150.72,665.2512,1675228199999,15397559.001209,17407,376.1113,8705490.9292083,0
1675228200000,23150.18,23159.61,23142.0,23159.21,705.93701,1675228499999,16343241.8545863,17660,413.5961,9575210.9400084,0
